publisherID;publisherName
1;Ada Lovelace Institute
2;Almaden
3;Annals of Operations Research
4;Association for Information Systems
5;Avenga
6;California Management Review
7;Capgemini
8;Centre for Technology & Global Affairs University of Oxford
9;Complexity
10;Computer Aided Verification
11;Covington
12;Data Nutrition Project
13;Digital Catapult
14;Easy with AI
15;Frontiers in Built Environment
16;Frontiers in Digital Health
17;Google
18;IEEE Access
19;IEEE Industrial Electronics Magazine
20;IEEE Transactions on Visualization and Computer Graphics
21;Intel
22;International Journal of Production Economics
23;Journal of Business Analytics
24;Journal of Enterprise Information Management
25;Journal of Management Analytics
26;Journal of Product Innovation Management
27;Journal of Reliable Intelligent Environments
28;KITT4SME
29;McKinsey
30;Microsoft
31;Nesta
32;NPJ Digital Medicine
33;OECD
34;Patterns
35;Peak
36;Pluralsight
37;PriceWaterhouseCoopers
38;Proboscis
39;Technovation
40;The International Journal of Advanced Manufacturing Technology
41;The International Journal of Human Resource Management
42;TM Forum
43;University of Lincoln
44;Westmonroe
45;World Economic Forum
46;Allie K. Miller
