enablerID;enablerDescription;barrierID
C1;Development of dynamic capabilities;E1
C1;Development of dynamic capabilities;E2
C2;Simple solutions;E1
C2;Simple solutions;E4
C2;Simple solutions;E6
C3;Managerial capability development;E2
C4;Access to financial resources;E3
C5;Sharing of success stories;E4
C5;Sharing of success stories;E5
C6;Market regulation & Standards;E5
C7;AI Strategy;E5
C8;Innovation culture;E1
C8;Innovation culture;E2
C8;Innovation culture;E3
C8;Innovation culture;E4
C8;Innovation culture;E5
C8;Innovation culture;E6
C8;Innovation culture;E8
C8;Innovation culture;E9
C9;Data governance;E7
C9;Data governance;E8
C10;Ethical considerations;E9
